English,standard bangla,romanized bangla,chakma,romanized chakma
What is your favorite subject to study?,তোমার প্রিয় অধ্যয়নের বিষয় কী?,Tomar priyo oddhoyoner bishoy ki?,ত প্রিয় পুরিবার বিষ্য আন হি?,To priyo puribar bishoy aan hi?
I'm going to a factory to improve my writing skills.,আমি লেখা দক্ষতা নিয়ে একটি কারখানায় যাচ্ছি।,Ami lekha dokkhota niye ekti karkhanay jacchi.,মুই লিগিবার দক্ষতা লনেলই ইজ্ঞু কারখানাত যাঙ অর,Mui ligibar dokkhota lone loi igne karkhanat jaang or
What is your favorite type of backpack?,তোমার প্রিয় ব্যাকপ্যাকের ধরণ কী?,Tomar priyo backpack-er dhoron ki?,ত প্রিয় বুগিবার ব্যাগ আন হিদিক্কিন?,To priyo bugibar bag aan hidikkin?
Can you help me with my English essay?,আপনি কি আমার ইংরাজি প্রবন্ধে সাহায্য করতে পারবেন?,Apni ki amar ingraji probondhe shahajjo korte parben?,তুই হি মরে মর ইংরেজি প্রবন্ধ আনট সাহায্য গুরি পারিবি?,Tui hi more mor engreji probondho aanot shahajjo guri paribi?
I'm going to a language learning seminar.,আমি একটি ভাষা শেখার সেমিনারে যাচ্ছি।,Ami ekti bhasha shekhar seminar-e jacchi.,মুই ইজ্ঞু ভাষা শিখিবার সেমিনারৎ যাঙ অর,Mui igne bhasha shikhibar seminar-ot jaang or
What's your favorite type of highlighter?,তোমার প্রিয় হাইলাইটারের ধরণ কী?,Tomar priyo highlighter-er dhoron ki?,ত প্রিয় হাইলাইটার আন হিদিক্কিন,To priyo highlighter aan hidikkin
Can you recommend a good dictionary for me?,আপনি কি আমার জন্য একটি ভালো অভিধান সুপারিশ করতে পারবেন?,Apni ki amar jonno ekti bhalo obhidhan shuparish korte parben?,তুই হি মরে ইজ্ঞু গম অভিধান সুপারিশ গুরি পারিবি?,Tui hi more igne gom obhidhan shuparish guri paribi?
I'm going to a debate competition.,আমি একটি বিতর্ক প্রতিযোগিতায় যাচ্ছি।,Ami ekti bitorko protijogitay jacchi.,মুই ইজ্ঞু্ বিতর্ক প্রতিযোগিতাত যাঙ অর,Mui igne bitorko protijogitat jaang or
What's your favorite type of calculator?,তোমার প্রিয় ক্যালকুলেটরের ধরণ কী?,Tomar priyo calculator-er dhoron ki?,ত প্রিয় ক্যাল্কুলেটর আন হিদিক্কিন?,To priyo calculator aan hidikkin?
What's the date today?,আজ কি তারিখ?,Aaj ki tarikh?,ইচ্ছি হি তারিখ?,Icchi hi tarikh?
I'm going to a computer programming exhibition.,আমি একটি কম্পিউটার প্রোগ্রামিং প্রদর্শনীতে যাচ্ছি।,Ami ekti computer programming prodorshonite jacchi.,মুই ইজ্ঞু কম্পিউটার প্রোগ্রামের প্রদর্শনীত যাঙ অর,Mui igne computer programer prodorshonit jaang or
What's your favorite type of eraser?,তোমার প্রিয় মুছার ধরণ কী?,Tomar priyo muchar dhoron ki?,ত প্রিয় মুজিবার আন হিদিক্কিন?,To priyo mujibar aan hidikkin?
Can you recommend a good app for learning languages?,আপনি কি ভাষা শেখার জন্য একটি ভালো অ্যাপ সুপারিশ করতে পারবেন?,Apni ki bhasha shekhar jonno ekti bhalo app shuparish korte parben?,তুই হি ভাষা শিগিবার লাই ইজ্ঞু আপ সুপারিশ গুরি পারিবি?,Tui hi bhasha shigibar lai igne app shuparish guri paribi?
I'm going to an environmental science lecture.,আমি একটি পরিবেশ বিজ্ঞান লেকচারে যাচ্ছি।,Ami ekti poribesh biggan lecture-e jacchi.,মুই ইজ্ঞু পরিবেজ বিজ্ঞানের লেকচারট যাঙ অর,Mui igne poribej bigganer lecture-ot jaang or
What's your favorite laptop for studying?,তোমার প্রিয় ল্যাপটপ অধ্যয়নের জন্য কী?,Tomar priyo laptop oddhoyoner jonno ki?,ত প্রিয় ল্যাপ্টপ আন হি শিগিবার লাই?,To priyo laptop aan hi shigibar lai?
Can you help me with my history project?,আপনি কি আমার ইতিহাস প্রকল্পে সাহায্য করতে পারবেন?,Apni ki amar itihash prokolpe shahajjo korte parben?,তুই হি মরে ইতিহাস প্রকল্পট সাহায্য গুরি পারিবি?,Tui hi more itihash prokolpot shahajjo guri paribi?
I'm going to a time management workshop.,আমি একটি সময় ব্যবস্থাপনা করার কারখানায় যাচ্ছি।,Ami ekti shomoy bebosthapona korar karkhanay jacchi.,মুই ইজ্ঞু সময় বযাবস্থাপনা কারখানাট যাঙ অর,Mui igne shomoy bebosthapona karkhanat jaang or
What's your favorite type of textbook?,তোমার প্রিয় টেক্সটবুকের ধরণ কী?,Tomar priyo textbook-er dhoron ki?,ত প্রিয় তেক্সট বুক আন হিদিক্কিন?,To priyo text book aan hidikkin?
I'm looking for a new job.,আমি একটি নতুন চাকরি খুঁজছি,Ami ekti notun chakri khujchi.,মুই ইজ্ঞু নুয়ো চাগুরি টোগাঙ অর,Mui igne nuyo saguri togaang or
I'm going to an effective study interior workshop.,আমি একটি কার্যকর অধ্যয়ন অভ্যন্তর করার কারখানায় যাচ্ছি।,Ami ekti karjokor oddhoyon obbhyontor korar karkhanay jacchi.,মুই ইজ্ঞু কার্যকর অধ্যয়ন ঢুগিবার কারখানাত যাঙ অর,Mui igne karjokor oddhoyon dhugibar karkhanat jaang or
What's your favorite type of study music?,তোমার প্রিয় অধ্যয়নের সঙ্গীতের ধরণ কী?,Tomar priyo oddhoyoner shongiter dhoron ki?,ত প্রিয় অধ্যয়নর গান ন হিদিক্কিন,To priyo oddhoyonor gaan no hidikkin
Can you please give me some tips for concentration?,আপনি কি দয়া করে আমাকে কিছু মনোনিবেশের জন্য টিপস দিতে পারবেন?,Apni ki doya kore amake kichu mononibesher jonno tips dite parben?,তুই হি মরে হুজুলি গুরি হিজু টিপস দিবি নাহি মন আন একাগ্র গুরিবার লাই,Tui hi more hujuli guri hiju tips dibi nahi mon aan ekagro guribar lai
What's your favorite type of study snack?,তোমার প্রিয় অধ্যয়ন স্ন্যাকসের ধরণ কী?,Tomar priyo oddhoyon snacks-er dhoron ki?,পুরিবার সময়ত কি নাস্তা গরজ?,Puribar shomoyot ki nasta goroj?
I don't like spicy food.,আমি তীক্ষ্ণ খাবার খেতে পছন্দ করি না,Ami tikhno khabar khete pochondo kori na.,মুই বেজ ঝাল হাবার হে নোপারঙ,Mui bej jhal habar he noparang
I'm going to an effective essay writing workshop.,আমি একটি কার্যকর প্রবন্ধ লেখার কারখানায় যাচ্ছি।,Ami ekti karjokor probondho lekhar karkhanay jacchi.,মুুই ইজ্ঞু কার্যকর প্রবন্ধ লিগিবার কারখানাত যাঙ অর,Mui igne karjokor probondho ligibar karkhanat jaang or
What is your favorite type of study environment?,তোমার প্রিয় অধ্যয়ন পরিবেশের ধরণ কী?,Tomar priyo oddhoyon poribesher dhoron ki?,ত প্রিয় সিগিবার পরিবেজ আন হিদিক্কিন?,To priyo sigibar poribej aan hidikkin?
Can you teach me how to drive?,আপনি কি আমাকে গাড়ি চালানো শেখাতে পারবেন,Apni ki amake gari chalano shekhate parben?,তুই জি মরে গাড়ি চালানা সেগেবে,Tui ji more gari chalana shegebe
I'm going to a seminar on effective time management for students.,আমি একটি ছাত্রদের জন্য কার্যকর সময় ব্যবস্থাপনা করার সেমিনারে যাচ্ছি,Ami ekti chatroder jonno karjokor shomoy bebosthapona korar seminar-e jacchi.,মুই ইজ্ঞু ছাত্রর লাই জুরুরি সময় ব্যবস্থা গুরিবার লাই সেমিনারত যাঙ অর,Mui igne chattror lai jururi shomoy bebostha guribar lai seminar-ot jaang or
What is your favorite type of study method?,তোমার প্রিয় অধ্যয়ন পদ্ধতির ধরণ কী?,Tomar priyo oddhoyon poddhotir dhoron ki?,তর প্রিয় পুরিবার পদ্ধতি আন হি?,Tor priyo puribar poddhoti aan hi?
I'm thinking about going on vacation.,আমি ছুটিতে যেতে ভাবছি।,Ami chutite jete bhabchi.,মুই ছুটিত যেম ভাবঙ্গর,Mui chhutit jem bhabongor
I'm going to a factory with an effective study strategy.,আমি একটি কার্যকর পঠন কৌশল নিয়ে একটি কারখানায় যাচ্ছি।,Ami ekti karjokor pothon koushol niye ekti karkhanay jacchi.,মুই ইজ্ঞু্ঞু জরুরি পঠন হৌশল নিনোনি ইজ্ঞু কারখানাত যাঙ অর,Mui igne jururi pothon houshol ninoni igne karkhanat jaang or
What is your favorite study group activity?,তোমার প্রিয় অধ্যয়ন গোষ্ঠী কার্যকলাপ কী?,Tomar priyo oddhoyon goshthi karjokolaap ki?,ত প্রিয় পুরিবার গুষ্ঠি আন অর আলোচনা হি?,To priyo puribar gushthi aan or alochona hi?
I need to buy a new phone.,আমার একটি নতুন ফোন কিনতে হবে।,Amar ekti notun phone kinte hobe.,মর ইজ্ঞু নুয়ো ফোন হিনা পুরিবু,Mor igne nuyo phone hina puribu
I'm going to an effective learning method.,আমি একটি কার্যকর শেখা পদ্ধতিতে যাচ্ছি।,Ami ekti karjokor shekha poddhotite jacchi.,মুই ইজ্ঞু হাম পদ্ধতি সিগিবার যাঙ অর,Mui igne haam poddhoti sigibar jaang or
What is your favorite type of study app?,তোমার প্রিয় অধ্যয়ন অ্যাপের ধরণ কী?,Tomar priyo oddhoyon app-er dhoron ki?,তর প্রিয় পুুরিবার অ্যাপ আন হি?,Tor priyo puribar app aan hi?
I'm going to an effective memory method.,আমি একটি কার্যকর মেমোরি পদ্ধতিতে যাচ্ছি।,Ami ekti karjokor memory poddhotite jacchi.,মুই ইজ্ঞু কার্যকর শিগিবার পদ্ধতি আনত যাঙ অর,Mui igne karjokor shigibar poddhoti aanot jaang or
What is your favorite study skill?,তোমার প্রিয় অধ্যয়ন কম্পটেন কী?,Tomar priyo oddhoyon compoten ki?,তর প্রিয় পুরিবার কম্পটেন হি?,Tor priyo puribar kompoten hi?
Can I get more coffee?,আমি কি আর কফি পাবো,Ami ki aar coffee pabo?,মুই হি আরো কফি পেম?,Mui hi aaro coffee pem?
I'm going to a seminar on effective problem-solving skills.,আমি একটি কার্যকর সমস্যা সমাধান দক্ষতা নিয়ে একটি সেমিনারে যাচ্ছি।,Ami ekti karjokor shomossha shomadhan dokkhota niye ekti seminar-e jacchi.,মুই ইজ্ঞু হাাম সমস্যা সমাধানের দক্ষতা সিগিবার ইজ্ঞু সেমিনারট যাঙ অর,Mui igne haam shomossha shomadhaner dokkhota sigibar igne seminar-ot jaang or
What is your favorite study routine?,তোমার প্রিয় অধ্যয়ন রুটিন কী?,Tomar priyo oddhoyon routine ki?,তর প্রিয় পুরিবার রুটিন হি?,Tor priyo puribar routine hi?
Can you recommend a good study partner for me?,আপনি কি আমার জন্য একটি ভালো অধ্যয়ন সঙ্গী সুপারিশ করতে পারবেন?,Apni ki amar jonno ekti bhalo oddhoyon shongi shuparish korte parben?,তুই হি মরে ইজ্ঞু গম পুরিবার সঙ্গী সুপারিশ গুরি পারিবি?,Tui hi more igne gom puribar shonggi shuparish guri paribi?
I'm going to a factory to meet one.,আমি একজন এর সাথে  যোগাযোগ করার জন্যে একটি কারখানায় যাচ্ছি।,Ami ekjon er shathe jogajog korar jonno ekti karkhanay jacchi.,মুই এগজন লগে যোগাযোগ গুরিবার লাই কারখানা যাঙ অর,Mui egjon loge jogajog guribar lai karkhana jaang or
What is your favorite study motivation?,তোমার প্রিয় অধ্যয়ন উৎসাহ কী?,Tomar priyo oddhoyon utshaho ki?,তর প্রিয় পুরিবার উৎসাহ আন হি?,Tor priyo puribar utshaho aan hi?
Can you recommend a good study method for memorization?,আপনি কি মুখস্থ করার জন্য একটি ভালো অধ্যয়ন পদ্ধতি সুপারিশ করতে পারবেন?,Apni ki mukhostho korar jonno ekti bhalo oddhoyon poddhoti shuparish korte parben?,তুই হি মরে ইজ্ঞু্ঞু পড়া মনত রগেবার লাই গম পুরিবার পদ্ধতি সুপারিশ গুরি পারিবি?,Tui hi more igne pora monot rogebar lai gom puribar poddhoti shuparish guri paribi?
I'm going to a seminar on the art of effective test-taking.,আমি একটি কার্যকর পরীক্ষা নেওয়ার কলায় একটি আলোচনাসভায় যাচ্ছি।,Ami ekti karjokor porikkha newar kolay ekti alochona shobhay jacchi.,মুই ইজ্ঞু কার্যকর পরীক্ষে লবার লায় ইজ্ঞু আলোচনা সভাত যাঙর,Mui igne karjokor porikkhe lobar lai igne alochona shobhat jaangor
How do you spend your evenings?,তুমি কীভাবে তোমার সন্ধ্যায় সময় কাটাও?,Tumi kibhabe tomar shondhay shomoy katao?,তুই হেঙোরি ৎ সন্ধ্যা সময় আন হাদাচ?,Tui hengori to shondha shomoy aan hadach?
I am going to a factory with an effective group study method.,আমি একটি কার্যকর গোষ্ঠী অধ্যয়ন পদ্ধতি নিয়ে একটি কারখানায় যাচ্ছি।,Ami ekti karjokor goshthi oddhoyon poddhoti niye ekti karkhanay jacchi.,মুই ইজ্ঞু কার্যকর গোষ্ঠি পুরিবার লই ইজ্ঞু কারখানাত যাঙ অর।,Mui igne karjokor goshthi puribar loi igne karkhanat jaang or.
My favorite subject is science.,আমার প্রিয় বিষয় বিজ্ঞান।,Amar priyo bishoy biggan.,মর প্রিয় বিষয় আন বিজ্ঞেন?,Mor priyo bishoy aan biggen?
I am going to visit my family next week.,আমি পরের সপ্তাহে আমার পরিবারকে দেখতে যাচ্ছি,Ami porer shoptahe amar poribar-ke dekhte jacchi.,মুই পরে সাপ্তাত মর পরিবারের চেবার যাঙ অর,Mui pore shaptaat mor poribarer chebar jaang or
What are your plans for the evening?,তোমার সন্ধ্যায় কোন পরিকল্পনা আছে,Tomar shondhay kono porikolpona ache?,তর সন্ধ্যাত হন পরিকল্পনা আগে।,Tor shondhat hono porikolpona aage.
What is your favorite type of weather?,তোমার প্রিয় আবহাওয়ার ধরণ কী?,Tomar priyo abohawar dhoron ki?,ত প্রিয় দেবা আন হি?,To priyo deba aan hi?
What do you like to cook?,তুমি কী রান্না করতে পছন্দ করো,Tumi ki ranna korte pochondo koro?,তুই হি রানিবার গম পাছ?,Tui hi ranibar gom pach?
I need to do some shopping.,আমার কিছু কেনাকাটা করতে হবে,Amar kichu kenakata korte hobe.,মর হিজু হিনা হিনা আগে,Mor hiju hina hina aage
I need to buy a new laptop.,আমার একটি নতুন ল্যাপটপ কিনতে হবে,Amar ekti notun laptop kinte hobe.,মর ইজ্ঞু্ নুয়ো ল্যাপ্টপ হিনা পুরিবু,Mor igne nuyo laptop hina puribu
What is your favorite type of flower?,তোমার প্রিয় ফুলের ধরণ কী,Tomar priyo fuler dhoron ki?,তর প্রিয় ফুললু হি?,Tor priyo phullu hi?
What is your favorite type of research project?,তোমার প্রিয় গবেষণা প্রকল্পের ধরণ কী?,Tomar priyo gobeshona prokolper dhoron ki?,ত প্রিয় গবেষনা আন হি?,To priyo gobeshona aan hi?
I am going to an effective research preparation exhibition.,আমি একটি কার্যকর গবেষণা প্রস্তুতি প্রদর্শনীতে যাচ্ছি।,Ami ekti karjokor gobeshona prostuti prodorshonite jacchi.,মুই ইজ্ঞু কার্যকর গবেষনা প্রস্তুতিতে প্রদর্শন যাঙ অর,Mui igne karjokor gobeshona prostutite prodorshon jaang or
I am going to a seminar on effective data interpretation.,আমি কার্যকর তথ্য ব্যাখ্যার উপর একটি আলচনাসভায় যাচ্ছি।,Ami karjokor tottho bekkhar upor ekti alochona shobhay jacchi.,মুই ইজ্ঞু কার্যকর তথ্য ব্যাখ্যার উরি ইজ্ঞু আলোচনা সভাত যাঙ অর,Mui igne karjokor totthyo bekkhar uri igne alochona shobhat jaang or
What is your favorite type of software for research?,গবেষণার জন্য তোমার কোন ধরনের  সফটওয়্যার  প্রিয়?,Gobeshonar jonno tomar kon dhoroner software priyo?,গবেষনা গুরিবার লাই তর হিদিক্কিন সফটওয়্যার পছন্দ,Gobeshona guribar lai tor hidikkin software pochondo
What is your favorite type of programming language?,তোমার প্রিয় প্রোগ্রামিং ভাষার ধরণ কী?,Tomar priyo programming bhashar dhoron ki?,ত প্রিয় প্রোগ্রামিং ভাষা আন হিদিক্কিন?,To priyo programming bhasha aan hidikkin?
I am going to a seminar.,একটি আলোচনাসভায়  যাচ্ছি।,Ekti alochona shobhay jacchi.,ইজ্ঞু আলোচনা সভাত যাং অর,Igne alochona shobhat jaang or
What is your favorite type of programming project?,তোমার প্রিয় প্রোগ্রামিং প্রকল্পের ধরণ কী?,Tomar priyo programming prokolper dhoron ki?,ত প্রিয় প্রোগ্রামিং প্রকল্প হিদিক্কিন,To priyo programming prokolpo hidikkin
I want to go shopping.,আমি কেনাকাটা করতে চাই।,Ami kenakata korte chai.,মুই হিনিবার চাঙ?,Mui hinibar chang?
I want to buy a new dress.,আমি একটি নতুন পোষাক কেনতে চাই।,Ami ekti notun poshak kente chai.,মুই ইজ্ঞু নুয়ো সুলুম হিনিবার সাঙ,Mui igne nuyo sulum hinibar saang
I want to buy a smartphone.,আমি একটি স্মার্টফোন কেনতে চাই,Ami ekti smartphone kente chai.,মুই ইজ্ঞু স্মার্টওয়াচ হিনিবার চাঙ,Mui igne smartwatch hinibar chang
I want to buy a new watch.,আমি একটি নতুন  ঘড়ি কেনতে চাই।,Ami ekti notun ghori kente chai.,মুই ইজ্ঞু নুয়ো ঘুড়ি হিনিবার সাঙ,Mui igne nuyo ghuri hinibar saang
Does this store have a roof?,এই দোকানে কোন ছাদ আছে কি,Ei dokane kono chhad ache ki?,এই দোয়ান আনত হলো ছাদ আগে নি?,Ei doyan aanot holo chhad aage ni?
I need it.,আমি এটা প্রয়োজন,Ami eta proyojon.,মর ইবি লাগিবু,Mor ibi lagibu
How can I buy it?,আমি এটি কেমন কেনতে পারি?,Ami eti kemon kente pari?,মুই ইয়ান হেঙোরি হিনি পারিম?,Mui iyan hengori hini parim?
How much does this cloth cost?,এই কাপড়টির মূল্য কত?,Ei kaportir mullo koto?,এই হাবর আনর দাম হদক?,Ei habor aanor daam hodok?
I am willing to buy it.,আমি এটি কেনতে ইচ্ছুক।,Ami eti kente icchuk.,মুই ইবি হিনিবার চাঙ,Mui ibi hinibar chang
Can you show me these shoes?,আপনি এই জুতা গুলি দেখাতে পারেন কি?,Apni ei juta guli dekhate paren ki?,তুই এই জুতা আনি দেগে পারিবি,Tui ei juta aani dege paribi
Are these boots in my size?,এই বুটগুলি আমার সাইজের আছে কি?,Ei boot-guli amar size-er ache ki?,এই বুট আনি ম সাইজর আগে?,Ei but aani mo saijor aage?
I want to see this chest.,এই বুকে আমি দেখতে চাই।,Ei buke ami dekhte chai.,মুই এই বুক আনট চেবার সাঙ।,Mui ei buk aanot chebar saang.
I want to buy it as a gift.,আমি এটি একটি উপহার হিসেবে কিনতে চাই।,Ami eti ekti upohar hishebe kinte chai.,মুই ইয়ান এক্কান উপহার ইজেরে লোবার চাঙ,Mui iyan ekkan upohar ijere lobar chang
I want to buy this jacket.,আমি এই জাকেটটি কিনতে চাই।,Ami ei jacket-ti kinte chai.,মুই এই জেকেট আন হিনিবার চাঙ,Mui ei jeket aan hinibar chang
I want to buy it for my friend.,আমি এটি আমার বন্ধুর জন্য কিনতে চাই।,Ami eti amar bondhur jonno kinte chai.,মুই ইয়ান মর সমাজ্জির লাই হিনিবার চাঙ,Mui iyan mor shomajjir lai hinibar chang
Will it be suitable for the event?,এটি অনুষ্ঠানের জন্য উপযুক্ত হবে কি?,Eti onushthaner jonno upojukto hobe ki?,ইবি অনুষ্ঠানের লাই উপযুক্ত অব হি?,Ibi onushthaner lai upojukto obo hi?
I want to buy it from here.,আমি এটি এখান থেকে কিনতে চাই।,Ami eti ekhan theke kinte chai.,মুই ইয়ান ইয়ানট্টুন হিনিবার চাঙ,Mui iyan iyanottun hinibar chang
How can I get this t-shirt at a special discount?,এই টিশার্টটি বিশেষ ছাড়ে কি ভাবে পাবো?,Ei t-shirt-ti bishes chhare ki bhabe pabo?,এই টিশার্ট আন হেঙোরি বিষেশ ছাড়ট পেম?,Ei t-shirt aan hengori bishes chharot pem?
How much is the whole set?,এটি পুরো সেট কত টাকা?,Eti puro set koto taka?,ইয়ান পুরো সেট আন হদক?,Iyan puro set aan hodok?
Where can I get it?,এটি কোথায় পাবো?,Eti kothay pabo?,ইয়ান হুদু পেম?,Iyan hudu pem?
Is there any kind of offer in this store?,এই স্টোরে কোন প্রকারের অফার আছে?,Ei store-e kono prokarer offer ache?,এই স্টোর আনত হন প্রকারর অফার আগে?,Ei store aanot hono prokaror offer aage?
Is it in stock?,এটি স্টকে আছে কি?,Eti stock-e ache ki?,ইয়ান স্টক ওট আগে হি?,Iyan stock-ot aage hi?
I want to try this product.,আমি এই প্রোডাক্টটি ট্রায়াল করতে চাই।,Ami ei product-ti trial korte chai.,মুই এই প্রোডাক্ট আন এক্কা ট্রায়াল গুরিবার চাঙ,Mui ei product aan ekka trial guribar chang
Is this size right for me?,এই সাইজ আমার জন্য ঠিক আছে কি?,Ei size amar jonno thik ache ki?,এই সাইজ আন মর লাই ঠিক আগে।,Ei size aan mor lai thik aage.
This color is my favorite color.,এই কালারটি আমার পছন্দের কালার।,Ei colour-ti amar pochonder colour.,এই রঙ আন মর লাই দোল রঙ,Ei rong aan mor lai dol rong
When might this brand be needed?,এই ব্র্যান্ডের কোন সময় প্রয়োজন হতে পারে?,Ei brand-er kono shomoy proyojon hote pare?,এই ব্র‍্যান্ড আন হন সময়ট লাগি পাবে?,Ei brand aan hono shomoyot lagi pabe?
I want to buy these shoes as a gift.,আমি এই জুতাগুলি একটি উপহার হিসেবে কিনতে চাই।,Ami ei juta-guli ekti upohar hishebe kinte chai.,মুই এই জুতো উন ইজ্ঞু উপকার ইজেবে পেবার চাঙ,Mui ei juto un igne upokar ijebe pebar chang
Is there a shadow on this fabric?,এই কাপড়ের উপর কোন ছায়া আছে কি?,Ei kaporer upor kono chhaya ache ki?,এই হাবর আনর উরো হনো ছায়া আগে নাহি?,Ei habor aanor uro hono chaya aage nahi?
How much do these shoes cost?,আমি এই জুতাগুলির দাম কত?,Ami ei juta-gulir dam koto?,এই জুতো উনোর দাম হদক?,Ei juto unor daam hodok?
What brand is this watch?,এই ওয়াচটি কোন ব্র্যান্ডের?,Ei watch-ti kon brand-er?,এই ঘুড়ি আন হন ব্র‍্যান্ড অর?,Ei ghuri aan hon brand or?
I want to see the condition of it.,আমি এটি পরিস্থিতি দেখতে চাই।,Ami eti poristhiti dekhte chai.,মুই এই পরিস্থিতি আন চেবার চাঙ,Mui ei poristhiti aan chebar chang
How is this jewelry?,এই গহনাটি কিভাবে পরিস্থিতি তারা?,Ei gohona-ti kibhabe poristhiti tara?,এই গয়না উন লোই হেঙোরি তারা চিনোন,Ei goyna un loi hengori tara chinon
I want to buy this product as a gift.,আমি এই প্রোডাক্টটি একটি উপহার হিসেবে কিনতে চাই।,Ami ei product-ti ekti upohar hishebe kinte chai.,মুই এই প্রোডাক্ট আন ইজ্ঞু উফার ইজোর পেবার চাঙ,Mui ei product aan igne uphar ijor pebar chang
This could be a gift for me.,এটি আমার জন্য একটি উপহার হতে পারে।,Eti amar jonno ekti upohar hote pare.,ইয়ান মোর লাই ইজ্ঞু উপহার ওই পারে,Iyan mor lai igne upohar oi pare
Do these shoes have my size?,এই জুতাগুলি আমার সাইজের আছে কি?,Ei juta-guli amar size-er ache ki?,এই জুতো উন ম সাইজের আগে?,Ei juto un mo saijer aage?
What time might this store be needed?,এই স্টোরে কোন সময় প্রয়োজন হতে পারে?,Ei store-e kon shomoy proyojon hote pare?,এই স্টোর আনত হন সময় অট লাগি পারে,Ei store aanot hono shomoy ot lagi pare
Is this available in my size?,এই কালারের প্রোডাক্টটি আছে কি? (,Ei colour-er product-ti ache ki?,এই হালার অর প্রোডাক্ট আগে নাহি,Ei halar or product aage nahi
Is this my size?,এটি আমার সাইজের আছে কি?,Eti amar size-er ache ki?,ইয়ান ম সাইজর আগে নাহি?,Iyan mo saijor aage nahi?
How much is this dress selling for?,এই পোশাকটি কত দিয়ে বিক্রয় হচ্ছে?,Ei poshak-ti koto diye bikroy hocche?,এই সিলুম আন হদক দি বিজিবি?,Ei silum aan hodok di bijibi?
I want to buy a new camera.,আমি একটি নতুন ক্যামেরা কেনতে চাই।,Ami ekti notun camera kente chai.,মুই ইজ্ঞু নুয়ো ক্যামেরা লোবার চাঙ,Mui igne nuo camera lobar chang
I want to see this line of jewelry.,আমি এই সারি গহনা দেখতে চাই।,Ami ei shari gohona dekhte chai.,মুই এই সারি গায়না আনি চেবার সাঙ,Mui ei shari gayna aani chebar saang
I like the style of this fabric.,এই কাপড়ের স্টাইলটি আমার ভালো লাগছে।,Ei kaporer style-ti amar bhalo lagche.,এই হাবর আনর স্টাইল আন মর গম লাক্কি,Ei habor aanor style aan mor gom lakki
Is this product practical?,এই প্রোডাক্টটি কি ব্যবহারিক?,Ei product-ti ki beboharik?,এই প্রোডাক্ট আন হি ব্যবআর উয়ি?,Ei product aan hi bebohar uyi?
Where can I get these boots?,এই বুটগুলি কোথায় পাবো?,Ei boot-guli kothay pabo?,এই বুট আনি হুদু পেম?,Ei but aani hudu pem?
Can I pay by credit card?,এটি কি ক্রেডিট কার্ডে পরিশোধ করতে পারি?,Eti ki credit card-e porishodh korte pari?,ইয়ান হি ক্রেডিট কার্ডট সুজি পারিম?,Iyan hi credit card-ot shuji parim?
I want to try these shoes.,আমি এই জুতাগুলি পরীক্ষা করতে চাই।,Ami ei juta-guli porikkha korte chai.,মুই এই জুতো উন পরীক্ষে লোবার চাঙ,Mui ei juto un porikkhe lobar chang
Can this be free shipping?,এটি কি বিনামূল্যে শিপিং হতে পারে?,Eti ki binamulle shipping hote pare?,ইয়ান হি মাআনা শিপিং গুরি পারিবু?,Iyan hi maana shipping guri paribu?
Are these trousers in my size?,এই ট্রাউজারগুলি আমার সাইজের আছে কি?,Ei trouser-guli amar size-er ache ki?,এই ট্রাউজার আনি হি ম সাইজর আগে?,Ei trouser aani hi mo saijor aage?
I want to buy it for my family member.,আমি এটি আমার পরিবারের সদস্যের জন্য কিনতে চাই।,Ami eti amar poribarer shodosshyer jonno kinte chai.,মুই ইয়ান মর পরিবার অর মানুজোর লাই লোবার চাই,Mui iyan mor poribar or manujor lai lobar chai
I don't want it to be second-hand.,আমি এটি পুরানো ব্যবহৃত জিনিস চাই না।,Ami eti purano bebohrito jinish chai na.,মুই এই পুরোন ব্যভার গুরি যিয়ি জিনিজ নোগাঙ,Mui ei puron bebhar guri jiyi jinij nogaang
I want to buy this suit as a gift.,এই সুইটটি আমি একটি উপহার হিসেবে কিনতে চাই।,Ei sweet-ti ami ekti upohar hishebe kinte chai.,এই সুইটআন মুই ইজ্ঞু উপহার ইজেরে লোবার চাই,Ei suit-aan mui igne upohar ijere lobar chai
Is it a need?,এটি কি প্রয়োজনের মধ্যে?,Eti ki proyojoner moddhe?,ইয়ান হি লাগিবার?,Iyan hi lagibar?
Are these shoes trendy?,এই জুতাগুলি কি ট্রেন্ডি?,Ei juta-guli ki trendy?,এই জুতো উন হি ট্রেন্ডি?,Ei juto un hi trendy?
Is it a need or a want?,এটি একটি প্রয়োজন কি অথবা একটি ইচ্ছা?,Eti ekti proyojon ki othoba ekti iccha?,ইয়ান হি লাগিবার বা ইজ্ঞু ইচ্ছে?,Iyan hi lagibar ba igne icche?
"I want it, but my budget is limited.","আমি এটি চাই, কিন্তু আমার বাজেট সীমিত","Ami eti chai, kintu amar budget shimito.",মুই ইয়ান চাঙ হিন্তু ম বাজেট হম,Mui iyan chang hintu mo budget hom
What is the feel of these shoes?,এই জুতাগুলির জন্য অনুভূতি কী?,Ei juta-gulir jonno onubhuti ki?,এই জুতা আনির লাই অনুভূতি হি?,Ei juta aanir lai onubhuti hi?
How is the quality of this fabric?,এই কাপড়ের মান কেমন?,Ei kaporer maan kemon?,এই হাবর আনর মান হিদিক্কিন,Ei habor aanor maan hidikkin
